Date,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D
2023-12-01,231.61550064086913,234.83080017089844,234.26082842442008,66.68968264282947,3.3355081497369383,1.6244362185399202,252.71450288475486,231.61550064086913,210.5164983969834,66.16432091526029,73.64848387834562
2023-12-04,232.39650039672853,234.64480010986327,234.3864639869567,58.90739883233463,2.9782136830990282,1.895191711451742,252.82462869879572,232.39650039672853,211.96837209466133,34.49067618948372,57.91064089194335
2023-12-05,233.36900024414064,234.47940002441408,234.79918181874206,51.168180934969314,2.914826645641284,2.099118698289651,253.00238570040787,233.36900024414064,213.7356147878734,46.47083103617106,49.04194271363838
2023-12-06,234.22850036621094,234.38440002441405,235.23449737097496,46.61727168331674,2.88379840409749,2.256054639451219,253.2963841179571,234.22850036621094,215.16061661446477,48.950776591242125,43.30409460563232
2023-12-07,235.25500030517577,234.42720001220704,235.93978327751532,59.98676515902854,3.087479770444986,2.4223396656499725,253.7786474574406,235.25500030517577,216.73135315291094,61.42694383591072,52.28285048777465
2023-12-08,236.94800033569337,234.3763998413086,236.6921845213606,60.41484607770595,3.307600486155991,2.5993918297511764,251.51109328051854,236.94800033569337,222.3849073908682,58.99675373236533,56.458158053172745
2023-12-11,238.20250091552734,234.16679992675782,236.98245318534185,54.25926210822012,3.1153014867929016,2.7025737611595213,248.32299839766677,238.20250091552734,228.0820034333879,39.06327499974991,53.16232418934201
2023-12-12,238.86750030517578,233.87499969482423,236.9850761683413,45.41875767444347,2.7113592121797865,2.7043308513635744,246.39375510446862,238.86750030517578,231.34124550588294,26.27634195115191,41.4454568944224
2023-12-13,238.96149978637695,233.73019958496093,237.20459208432143,56.1920867050604,2.5458617861199,2.6726370383148397,246.4580100551762,238.96149978637695,231.4649895175777,45.17309555730001,36.83757083606729
2023-12-14,239.37200012207032,233.5279995727539,238.5232026526487,65.13388001276599,3.3253063277909973,2.803170896210071,248.48714517889974,239.37200012207032,230.2568550652409,88.9797470535632,53.47639485400506
