Statistique,Valeur
Prix moyen,213.2794425815652
Volatilité moyenne,0.6246101868488412
Rendement moyen journalier,0.003025680052596067
Rendement total,1355.2015180590683
Volume moyen,125568626.33253779
Ratio de Sharpe (annualisé),1.1348083973324679
